Honduras;28;HNppbbbbkkkkkkkkkkkkkkkkkkkk;4c,20n;
Irak;23;IQppbbbbssskkkkkkkkkkkk;4c,15n;
Iran;26;IRppkkkkkkkkkkkkkkkkkkkkkk;22n;
Irland;22;IEppbbbbsssssskkkkkkkk;4a,14n;
Island;26;ISppbbbbsskkkkkkXXXXXXXXXX;22n;
Israel;23;ILppbbbssskkkkkkkkkkkkk;19n;
Italien;27;ITppKbbbbbssssskkkkkkkkkkkk;1a,10n,12c;
Jordanien;30;JOppbbbbsssskkkkkkkkkkkkkkkkkk;4c,22n;
Kamerun;27;CMppbbbbbssssskkkkkkkkkkkKK;23n;
Kap Verde;25;CVppbbbbsssskkkkkkkkkkkKK;21n;
Kasachstan;20;KZppbbbkkkkkkkkkkkkk;3n,13c;
Katar;29;QAppbbbbkkkkkkkkkkkkkkkkkkkkk;4a,21c;
Komoren;27;KMppbbbbbssssskkkkkkkkkkkKK;23n;
Kongo;27;CGppbbbbbssssskkkkkkkkkkkKK;23n;
Kosovo;20;XKppbbbbkkkkkkkkkkkk;16n;
Kroatien;21;HRppbbbbbbbkkkkkkkkkk;17n;
Kuwait;30;KWppbbbbkkkkkkkkkkkkkkkkkkkkkk;4a,22c;
Lettland;21;LVppbbbbkkkkkkkkkkkkk;4a,13c;
Libanon;28;LBppbbbbkkkkkkkkkkkkkkkkkkkk;4n,20c;
Liechtenstein;21;LIppbbbbbkkkkkkkkkkkk;5n,12c;
Litauen;20;LTppbbbbbkkkkkkkkkkk;16n;
Luxemburg;20;LUppbbbkkkkkkkkkkkkk;3n,13c;
Madagaskar;27;MGppbbbbbssssskkkkkkkkkkkKK;23n;
Martinique;27;MQppbbbbbssssskkkkkkkkkkkKK;10n,11c,2n;
Mali;28;MLppbbbbbssssskkkkkkkkkkkkKK;2c,22n;
Malta;31;MTppbbbbssssskkkkkkkkkkkkkkkkkk;4a,5n,18c;
Mauretanien;27;MRppbbbbbssssskkkkkkkkkkkKK;23n;
Mauritius;30;MUppbbbbbbsskkkkkkkkkkkkkkkKKK;4a,19n,3a;
Mazedonien;19;MKppbbbkkkkkkkkkkKK;3n,10c,2n;
Moldau;24;MDppbbkkkkkkkkkkkkkkkkkk;2c,18c;
Monaco;27;MCppbbbbbssssskkkkkkkkkkkKK;23n;
Montenegro;22;MEppbbbkkkkkkkkkkkkkKK;18n;
Mosambik;25;MZppbbbbsssskkkkkkkkkkkKK;21n;
Neukaledonien;27;NCppbbbbbssssskkkkkkkkkkkKK;10n,11c,2n;
Niederlande;18;NLppbbbbkkkkkkkkkk;4a,10n;
Norwegen;15;NOppbbbbkkkkkkK;11n;
Österreich;20;ATppbbbbbkkkkkkkkkkk;16n;
Osttimor;23;TLppbbbkkkkkkkkkkkkkkKK;19n;
Pakistan;24;PKppbbbbrrkkkkkkkkkkkkkk;4c,16n;
Palästina;29;PSppbbbbrrrrrrrrrkkkkkkkkkkkk;4c,21n;
Polen;28;PLppbbbssssKkkkkkkkkkkkkkkkk;24n;
Portugal;25;PTppbbbbsssskkkkkkkkkkkKK;21n;
Reunion;27;REppbbbbbssssskkkkkkkkkkkKK;10n,11c,2n;
Rumänien;24;ROppbbbbkkkkkkkkkkkkkkkk;4a,16c;
Saint-Barthélemy;27;BLppbbbbbssssskkkkkkkkkkkKK;10n,11c,2n;
SanMarino;27;SMppKbbbbbssssskkkkkkkkkkkk;1a,10n,12c;
São Tomé und Príncipe;25;STppbbbbsssskkkkkkkkkkkKK;4n,4n,13n;
Saudi-Arabien;24;SAppbbkkkkkkkkkkkkkkkkkk;2n,18c;
Schweden;24;SEppbbbkkkkkkkkkkkkkkkkK;20n;
Schweiz;21;CHppbbbbbkkkkkkkkkkkk;5n,12c;
Senegal;28;SNppbbbbbssssskkkkkkkkkkkkKK;2c,22n;
Serbien;22;RSppbbbkkkkkkkkkkkkkKK;18n;
Seychellen;31;SCppbbbbbbbbkkkkkkkkkkkkkkkkXXX;4c,20n,3c;
Slowakei;24;SKppbbbbsssssskkkkkkkkkk;20n;
Slowenien;19;SIppbbssskkkkkkkkKK;15n;
Spanien;24;ESppbbbbssssKKkkkkkkkkkk;20n;
St.Lucia;32;LCppssssbbbbkkkkkkkkkkkkkkkkkkkk;4c,24n;
Togo;28;TGppbbbbbssssskkkkkkkkkkkkKK;2c,22n;
Tschad;27;TDppbbbbbssssskkkkkkkkkkkKK;23n;
Tschechien;24;CZppbbbbkkkkkkkkkkkkkkkk;20n;
Tunesien;24;TNppbbssskkkkkkkkkkkkkKK;20n;
Türkei;26;TRppbbbbbrkkkkkkkkkkkkkkkk;5n,17c;
Ukraine;29;UAppbbbbbbkkkkkkkkkkkkkkkkkkk;25n;
Ungarn;28;HUppbbbssssKkkkkkkkkkkkkkkkK;24n;
Vereinigte Arabische Emirate;23;AEppbbbkkkkkkkkkkkkkkkk;3n,16n;
Vereinigtes Königreich;22;GBppbbbbsssssskkkkkkkk;4c,14n;
Wallis und Futuna;27;WFppbbbbbssssskkkkkkkkkkkKK;10n,11c,2n;
Weißrussland;28;BYppssssbbbbkkkkkkkkkkkkkkkk;4c,20n;
Zypern;28;CYppbbbssssskkkkkkkkkkkkkkkk;8n,16c;
Zentralafrikanische Republik;27;CFppbbbbbssssskkkkkkkkkkkKK;23n;
